Lionel Messi
Cristiano Ronaldo
Neymar Jr.
Kylian Mbappe
Mohamed Salah
Kevin De Bruyne
Harry Kane
Robert Lewandowski
Sergio Aguero
Manuel Neuer
Virgil van Dijk
Bruno Fernandes
Jan Oblak
Luis Suarez
Raheem Sterling
Karim Benzema
Luka Modric
Joshua Kimmich
Erling Haaland
Marco Verratti
Sergio Ramos
Sadio Mane
Antoine Griezmann
Gianluigi Donnarumma
Paulo Dybala
Heung-min Son
Alisson Becker
Thiago Alcantara
Paul Pogba
Trent Alexander-Arnold
Kalidou Koulibaly
Riyad Mahrez
Bernardo Silva
Thomas Muller
Frenkie de Jong
Ederson Moraes
Aymeric Laporte
Romelu Lukaku
Joao Cancelo
Hakim Ziyech
N'Golo Kante
Georginio Wijnaldum
Achraf Hakimi
Serge Gnabry
Memphis Depay
Jadon Sancho
Ruben Dias
Marcus Rashford
Rodri Hernandez
Ferland Mendy
Marquinhos
Federico Chiesa
Luis Alberto
Angel Di Maria
Roberto Firmino
Alex Sandro
Ivan Rakitic
Thomas Partey
Gerard Pique
Georginio Wijnaldum
Keylor Navas
David Alaba
Koke
Miralem Pjanic
Hakim Ziyech
Ciro Immobile
Sergej Milinkovic-Savic
Nicolo Barella
Marcelo Brozovic
Dries Mertens
Rodrigo De Paul
Leon Goretzka
Jose Gimenez
Allan
Raphael Varane
Toby Alderweireld
Alex Telles
Danny Ings
Riyad Mahrez
Giovani Lo Celso
Stefan de Vrij
Gerard Moreno
Arthur Melo
Nicolo Zaniolo
Kieran Trippier
Hakim Ziyech
Julian Brandt
Memphis Depay
Rodrigo
Leroy Sane
Marcos Llorente
Andrea Belotti
Kingsley Coman
Matteo Politano
Mason Mount
Victor Osimhen
Adama Traore
Anthony Martial
Aaron Wan-Bissaka
John Stones
Pele
Diego Maradona
Johan Cruyff
Michel Platini
Franz Beckenbauer
Zinedine Zidane
Ronaldo (Brazilian)
George Best
Alfredo Di Stefano
Ferenc Puskas
Eusebio
Marco van Basten
Bobby Charlton
Gerd Muller
Lothar Matthaus
Paolo Maldini
Lev Yashin
Roberto Baggio
Garrincha
Bobby Moore
Andres Iniesta
Xavi Hernandez
Ronaldinho
Cafu
Rivaldo
Hristo Stoichkov
Romario
Thierry Henry
Fabio Cannavaro
Carles Puyol
Gary Lineker
Jurgen Klinsmann
Ruud Gullit
Frank Rijkaard
Fernando Hierro
Miroslav Klose
Pavel Nedved
Michael Ballack
Hugo Sanchez
Dino Zoff
Michel Hidalgo
Karl-Heinz Rummenigge
Javier Zanetti
Enzo Francescoli
Kenny Dalglish
Zico
Diego Forlan
Michel Salgado
Luis Figo
Didier Drogba
